postId,a1,a2,b1,b2,c1,c2,processed,found,missed
2956,269,240,175,127,82,55,3180,948,2232
2961,6,5,3,3,3,0,72,20,52
2963,14,14,10,7,4,7,150,56,94
2971,12,11,10,5,4,3,126,45,81
2980,565,489,340,234,153,89,6840,1870,4970
2342,914,855,612,457,289,179,11214,3306,7908
3582,182,166,132,111,63,23,2160,677,1483
0,0,0,0,0,0,0,0,0,0
3594,304,259,165,135,72,63,3564,998,2566
3567,429,302,193,131,70,62,4722,1187,3535
2429,9,9,6,7,3,3,90,37,53
4078,123,132,86,62,44,27,1758,474,1284
3080,118,84,54,33,30,12,1206,331,875
2439,12,12,6,5,5,3,126,43,83
5323,347,292,213,145,103,58,4140,1158,2982
3094,14,7,4,3,3,5,156,36,120
3076,10,6,6,5,4,2,90,33,57
5037,208,228,141,101,98,54,2604,830,1774
2467,305,254,178,148,100,54,3252,1039,2213
2473,8,10,7,3,6,4,132,38,94
4000,14,8,6,4,1,2,144,35,109
2475,18,15,8,8,4,3,174,56,118
2482,18,21,13,11,9,2,240,74,166
2495,349,274,201,168,98,62,3984,1152,2832
2499,7,3,6,8,4,5,90,33,57
4001,4,4,4,4,1,3,60,20,40
2501,13,13,7,6,5,1,120,45,75
2512,7,7,6,6,1,4,90,31,59
2524,238,218,156,116,66,56,2928,850,2078
8697,95,80,51,34,25,19,1128,304,824
2775,18,11,10,4,2,6,270,51,219
3422,386,342,238,178,114,76,4494,1334,3160
2617,896,787,574,423,288,134,11046,3102,7944
2642,190,155,111,80,37,32,2142,605,1537
3270,26,26,25,12,10,5,384,104,280
3614,555,490,441,308,240,75,8040,2109,5931
2649,11,11,7,8,6,3,120,46,74
5320,448,373,297,215,137,77,5406,1547,3859
3597,5,3,2,4,2,0,42,16,26
3601,68,57,44,36,25,15,1212,245,967
3598,7,6,1,2,0,3,72,19,53
2667,9,6,6,6,5,3,108,35,73
4017,197,146,98,56,35,24,1926,556,1370
2690,790,720,477,363,245,130,10074,2725,7349
2938,263,266,237,179,126,54,3600,1125,2475
2706,10,9,4,4,3,3,96,33,63
2716,10,8,6,5,4,2,102,35,67
2720,9,6,4,5,1,1,84,26,58
4060,214,173,144,105,50,46,2892,732,2160
3606,219,185,125,99,61,35,2592,724,1868
2784,365,350,277,208,111,92,4548,1403,3145
0,0,0,0,0,0,0,0,0,0
3031,265,198,139,90,64,29,2748,785,1963
3041,16,10,8,5,1,2,144,42,102
3043,9,7,7,5,3,2,72,33,39
3453,198,143,105,85,40,31,2106,602,1504
3203,363,350,258,226,134,100,4188,1431,2757
3230,110,86,60,42,28,15,1296,341,955
3475,497,455,326,237,133,100,5868,1748,4120
3497,154,135,86,57,25,27,1776,484,1292
4925,457,373,267,159,110,73,4752,1439,3313
3410,151,120,130,87,62,28,2142,578,1564
3451,165,166,124,81,50,28,1980,614,1366
3466,181,167,124,107,74,30,2346,683,1663
3444,176,158,141,86,71,38,2310,670,1640
3446,453,400,271,211,110,95,5478,1540,3938
3489,211,179,151,99,68,39,2622,747,1875
3555,271,209,145,132,76,51,3036,884,2152
3455,8,7,6,6,4,1,96,32,64
3456,11,11,8,6,3,3,108,42,66
3462,9,10,8,6,4,2,126,39,87
3464,183,156,112,82,41,36,2100,610,1490
3472,8,5,1,1,0,2,90,17,73
3640,204,155,98,81,45,39,2592,622,1970
3619,367,337,226,183,113,54,4188,1280,2908
3599,37,42,28,21,12,11,768,151,617
3483,698,616,473,350,258,94,7656,2489,5167
3487,234,209,123,86,44,39,2388,735,1653
3520,157,137,87,75,38,21,1794,515,1279
3495,215,182,118,83,44,29,2484,671,1813
3529,135,125,97,68,46,31,1962,502,1460
3621,252,212,155,106,63,44,3264,832,2432
3501,13,11,6,3,1,3,114,37,77
3504,9,10,4,5,3,0,120,31,89
3510,7,7,6,5,3,1,126,29,97
3513,6,7,5,4,2,1,84,25,59
3516,1750,1395,1003,678,375,248,18552,5449,13103
3518,369,326,229,159,120,50,4236,1253,2983
3523,326,255,193,148,72,60,4116,1054,3062
3525,303,257,213,137,102,62,3708,1074,2634
3527,243,228,165,119,63,47,2874,865,2009
3532,119,105,89,54,35,18,1542,420,1122
3537,815,678,437,351,189,142,9636,2612,7024
3546,92,79,54,40,26,12,1080,303,777
3623,363,344,252,187,122,64,4980,1332,3648
3638,186,168,116,63,54,47,2064,634,1430
3645,171,163,135,114,75,38,2490,696,1794
3651,223,188,173,138,98,32,3270,852,2418
3672,121,81,48,32,13,20,1560,315,1245
3659,361,289,211,138,106,33,3846,1138,2708
3663,105,93,58,63,21,34,1542,374,1168
3666,189,154,91,83,29,41,2418,587,1831
3679,532,554,390,314,220,136,6510,2146,4364
3670,220,187,103,77,43,41,2646,671,1975
3688,91,76,53,62,39,35,1464,356,1108
3675,1205,992,753,556,346,190,12966,4042,8924
3677,41,34,27,23,8,8,654,141,513
3683,169,159,90,52,38,42,2214,550,1664
3690,9,8,8,8,5,1,132,39,93
3692,9,8,8,8,5,1,132,39,93
3697,117,105,71,65,29,28,1380,415,965
3700,590,507,369,288,194,138,7188,2086,5102
3705,3,4,3,2,1,1,54,14,40
3706,10,8,5,3,1,4,114,31,83
3709,192,154,125,81,49,37,2466,638,1828
3722,72,65,40,28,16,14,906,235,671
3724,157,154,107,81,53,38,1818,590,1228
3726,364,331,266,174,123,58,4956,1316,3640
3729,469,393,279,195,114,85,5298,1535,3763
3818,96,98,75,54,29,15,1326,367,959
3848,107,74,47,29,16,13,1284,286,998
3822,569,499,317,226,147,79,7386,1837,5549
3824,100,86,40,44,35,19,1326,324,1002
3899,31,22,13,7,7,8,378,88,290
3859,509,397,329,209,133,51,5538,1628,3910
3836,95,70,37,22,13,26,1116,263,853
3902,410,378,303,235,185,79,4974,1590,3384
0,0,0,0,0,0,0,0,0,0
3842,600,590,342,277,166,134,6180,2109,4071
3846,236,252,208,131,103,63,2598,993,1605
3878,245,229,171,120,82,66,2634,913,1721
3855,134,100,80,50,37,20,1434,421,1013
3863,919,780,470,331,200,178,10446,2878,7568
6861,418,365,280,181,129,75,4752,1448,3304
4005,81,48,35,17,14,10,996,205,791
3897,112,94,78,61,38,11,1590,394,1196
3910,91,38,58,35,31,11,1224,264,960
0,0,0,0,0,0,0,0,0,0
3892,236,220,170,101,78,43,3336,848,2488
3894,374,303,221,145,91,48,3918,1182,2736
3906,322,279,177,145,78,50,4248,1051,3197
3908,138,140,109,87,62,26,1866,562,1304
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
3926,7,9,8,7,5,2,108,38,70
3927,12,11,6,5,6,0,126,40,86
3929,89,48,37,24,14,11,1110,223,887
3931,451,387,332,215,120,93,5700,1598,4102
3933,235,190,144,98,58,28,2448,753,1695
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
3958,315,255,171,114,80,39,3696,974,2722
3944,6,6,3,2,1,1,78,19,59
3947,12,13,6,2,2,0,156,35,121
3962,7,4,5,2,1,2,90,21,69
3969,16,13,8,5,4,2,150,48,102
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
3980,129,118,81,52,39,20,1668,439,1229
3982,128,114,94,76,57,16,1596,485,1111
4043,12,14,9,10,4,5,132,54,78
4015,27,23,22,18,12,9,342,111,231
4012,22,17,10,9,3,2,228,63,165
4009,18,18,11,8,4,4,174,63,111
