postId,l1,l2,l3,l4,l5,l6,processed,found,missed
13674,1559,192,141,58,11,22,16140,1983,14157
13676,927,150,118,50,8,11,9246,1264,7982
13678,1898,205,126,58,9,6,18204,2302,15902
13680,14,1,0,0,0,0,108,15,93
13682,161,19,5,6,0,0,1512,191,1321
13687,181,24,18,1,0,1,1782,225,1557
13696,5,0,0,0,0,0,72,5,67
13697,12,3,3,0,0,0,126,18,108
13699,216,16,9,5,1,0,2298,247,2051
13716,40,4,1,2,0,1,462,48,414
13720,337,36,25,4,0,1,3156,403,2753
13732,8,0,0,0,0,0,54,8,46
13735,13,0,0,0,0,0,84,13,71
13767,4,1,0,1,0,0,54,6,48
13768,18,2,3,1,0,0,168,24,144
13769,8,1,1,0,0,0,66,10,56
13773,427,63,28,10,1,3,4200,532,3668
13771,8,1,1,0,0,0,102,10,92
13772,9,1,1,0,0,2,102,13,89
13775,194,39,21,5,2,4,2334,265,2069
13777,329,24,20,14,2,2,3378,391,2987
13781,1208,135,127,66,18,28,12300,1582,10718
13783,1786,241,166,55,15,31,17328,2294,15034
13785,1849,270,178,51,23,14,18468,2385,16083
13787,1074,131,105,40,11,20,11280,1381,9899
13791,1241,162,143,50,8,15,12498,1619,10879
13793,1164,133,106,37,9,25,12282,1474,10808
13795,2048,285,193,101,21,57,20364,2705,17659
13797,2009,234,164,120,30,56,21792,2613,19179
13803,299,50,26,12,3,1,2742,391,2351
13805,12,0,0,0,0,0,108,12,96
13808,273,21,9,3,0,0,2568,306,2262
13810,162,21,14,4,2,1,1578,204,1374
13812,9,2,0,0,0,0,90,11,79
13813,15,3,1,0,0,0,132,19,113
13819,10,1,1,1,1,0,120,14,106
13823,155,17,10,7,2,0,1596,191,1405
13827,1051,94,56,17,7,11,10692,1236,9456
13835,6,0,0,0,0,0,78,6,72
13837,13,4,3,0,0,0,96,20,76
13840,66,7,3,3,0,0,714,79,635
13872,135,29,19,13,4,2,1746,202,1544
13876,12,0,0,2,0,0,114,14,100
13880,125,20,10,9,1,2,1356,167,1189
13886,142,9,8,0,3,0,1560,162,1398
13891,6,0,1,0,1,0,90,8,82
13892,1148,127,99,45,5,19,11202,1443,9759
13894,1424,117,105,50,12,30,12708,1738,10970
13896,1932,233,154,83,17,18,17496,2437,15059
13898,1600,194,147,66,23,31,15870,2061,13809
13900,588,73,61,17,14,5,5958,758,5200
13902,1629,225,186,62,15,22,17274,2139,15135
13904,1195,166,82,90,13,14,12852,1560,11292
13906,1661,239,207,30,17,26,16782,2180,14602
13908,114,13,14,5,6,1,1386,153,1233
13910,236,14,8,0,1,0,2454,259,2195
